Date,Total
11/08/2023,41972954938.07475
12/08/2023,42128326414.84989
13/08/2023,42143190994.34758
14/08/2023,42010206237.21517
15/08/2023,42027817242.010895
16/08/2023,41453184563.54551
17/08/2023,40523248878.53906
18/08/2023,38818752032.404976
19/08/2023,38490104020.35098
20/08/2023,36435514560.010185
21/08/2023,36261253481.45827
22/08/2023,36074116549.087074
23/08/2023,37806846659.03243
24/08/2023,38533826302.72055
25/08/2023,38270836654.436905
26/08/2023,38049275180.98955
27/08/2023,38025627972.75821
28/08/2023,38249142492.56786
29/08/2023,38232046787.10748
30/08/2023,39406597020.42509
31/08/2023,38919417564.01312
01/09/2023,38051994397.96331
02/09/2023,37896273944.189606
03/09/2023,37991929086.83715
04/09/2023,38085287336.71134
05/09/2023,37929129814.32706
06/09/2023,37884626072.10671
07/09/2023,38022987844.63122
08/09/2023,38404366139.76885
09/09/2023,38113379537.68094
10/09/2023,38049195944.80712
11/09/2023,37792290492.943855
12/09/2023,36356351555.52486
13/09/2023,37339606191.726746
14/09/2023,37694374996.68021
15/09/2023,37996915740.09063
16/09/2023,39157451324.03912
17/09/2023,38656265248.37883
18/09/2023,38740928156.27772
19/09/2023,38709423337.78081
20/09/2023,39200787566.40112
21/09/2023,38875573337.8163
22/09/2023,38163699682.15312
23/09/2023,38350882972.82267
24/09/2023,38291904753.45225
25/09/2023,37911510414.709496
26/09/2023,38104897631.39348
27/09/2023,37662158725.0375
28/09/2023,37824832006.99802
29/09/2023,38495398535.636536
30/09/2023,38603667200.84787
01/10/2023,38579885078.44044
02/10/2023,39547739220.63375
03/10/2023,38664830530.282005
04/10/2023,38362962820.08107
05/10/2023,38561510846.80372
06/10/2023,38199201850.2612
07/10/2023,38472396114.119896
08/10/2023,38410678406.79236
09/10/2023,38274485535.54872
10/10/2023,37514949855.58443
11/10/2023,36759855517.71565
12/10/2023,36720020372.164085
13/10/2023,34975933811.584145
14/10/2023,36744921731.33103
15/10/2023,36374300754.55052
16/10/2023,36849132096.22269
17/10/2023,37133419524.27413
18/10/2023,36703698790.303375
19/10/2023,36553462055.75597
20/10/2023,36435609203.23583
21/10/2023,37000163947.15814
22/10/2023,37662847916.74447
23/10/2023,38963649716.70836
24/10/2023,40729316232.93887
25/10/2023,40597071313.6598
26/10/2023,41417850189.47183
27/10/2023,41101067011.700806
28/10/2023,40379843207.26955
29/10/2023,41504717212.21462
30/10/2023,41554538412.04967
31/10/2023,42588160565.242
01/11/2023,41823333628.57265
02/11/2023,43171029966.55047
03/11/2023,42219204045.30475
04/11/2023,43229612019.52007
05/11/2023,43608162998.80151
06/11/2023,43580646352.932175
07/11/2023,43072730848.06946
08/11/2023,44148197857.80441
09/11/2023,43527087430.76437
10/11/2023,46968557883.76204
11/11/2023,45607555848.43646
